id;nome_rede;endereco;data_registro;data_exclusao;divulgar_no_aplicativo
1;invoice Crianças Checking;ferrugem wireless;2023-07-27T03:00:19;2023-07-27T23:01:00;false
2;Albânia Metal;seize;2023-07-27T06:47:59;2023-07-27T18:01:23;true
3;Mouse CFP Rupiah;Algodão;2023-07-27T15:45:37;2023-07-27T09:57:35;true
4;backing;enhance optimal;2023-07-27T15:45:20;2023-07-27T03:07:04;true
5;Gerais;Sapatos Travessa;2023-07-27T20:35:36;2023-07-27T03:22:54;false
6;Camiseta;McDonald National intermediate;2023-07-27T20:52:40;2023-07-27T00:10:38;false
7;Central;deposit;2023-07-27T21:23:13;2023-07-27T02:12:38;false
8;override Future neural;Jogos;2023-07-27T09:44:21;2023-07-27T04:39:45;true
9;program Música Forward;navigating;2023-07-27T03:18:35;2023-07-27T20:07:56;true
10;Legacy;harness Investment;2023-07-27T07:30:54;2023-07-27T03:41:39;false
